Frequency_Band,Center_Frequency_Hz,Power_Watts,Power_dBW
4.1-4.2 kHz,4150,28203452.50,74.50
4.2-4.3 kHz,4250,28421989.17,74.54
4.3-4.4 kHz,4350,28637963.59,74.57
4.4-4.5 kHz,4450,28851463.84,74.60
4.5-4.6 kHz,4550,29062573.04,74.63
4.6-4.7 kHz,4650,29271369.77,74.66
4.7-4.8 kHz,4750,29477928.40,74.69
4.8-4.9 kHz,4850,29682319.40,74.72
4.9-5.0 kHz,4950,29884609.60,74.75
5.0-5.1 kHz,5050,30084862.48,74.78
5.1-5.2 kHz,5150,30283138.39,74.81
5.2-5.3 kHz,5250,30479494.74,74.84
5.3-5.4 kHz,5350,30673986.24,74.87
5.4-5.5 kHz,5450,30866665.02,74.89
5.5-5.6 kHz,5550,31057580.84,74.92
5.6-5.7 kHz,5650,31246781.24,74.95
5.7-5.8 kHz,5750,31434311.63,74.97
5.8-5.9 kHz,5850,31620215.47,75.00
5.9-6.0 kHz,5950,31804534.36,75.02
6.0-6.1 kHz,6050,31987308.18,75.05
6.1-6.2 kHz,6150,32168575.12,75.07
6.2-6.3 kHz,6250,32348371.86,75.10
6.3-6.4 kHz,6350,32526733.60,75.12
6.4-6.5 kHz,6450,32703694.17,75.15
6.5-6.6 kHz,6550,32879286.07,75.17
6.6-6.7 kHz,6650,33053540.57,75.19
6.7-6.8 kHz,6750,33226487.79,75.21
6.8-6.9 kHz,6850,33398156.70,75.24
6.9-7.0 kHz,6950,33568575.24,75.26
7.0-7.1 kHz,7050,33737770.34,75.28
7.1-7.2 kHz,7150,33905767.98,75.30
7.2-7.3 kHz,7250,34072593.23,75.32
7.3-7.4 kHz,7350,34238270.29,75.35
7.4-7.5 kHz,7450,34402822.56,75.37
7.5-7.6 kHz,7550,34566272.63,75.39
7.6-7.7 kHz,7650,34728642.36,75.41
7.7-7.8 kHz,7750,34889952.89,75.43
7.8-7.9 kHz,7850,35050224.69,75.45
7.9-8.0 kHz,7950,35209477.56,75.47
8.0-8.1 kHz,8050,35367730.70,75.49
8.1-8.2 kHz,8150,35525002.70,75.51
8.2-8.3 kHz,8250,35681311.59,75.52
8.3-8.4 kHz,8350,35836674.84,75.54
8.4-8.5 kHz,8450,35991109.42,75.56
8.5-8.6 kHz,8550,36144631.78,75.58
8.6-8.7 kHz,8650,36297257.90,75.60
8.7-8.8 kHz,8750,36449003.29,75.62
8.8-8.9 kHz,8850,36599883.02,75.63
8.9-9.0 kHz,8950,36749911.75,75.65
9.0-9.1 kHz,9050,36899103.72,75.67
9.1-9.2 kHz,9150,37047472.76,75.69
9.2-9.3 kHz,9250,37195032.36,75.70
9.3-9.4 kHz,9350,37341795.60,75.72
9.4-9.5 kHz,9450,37487775.26,75.74
9.5-9.6 kHz,9550,37632983.75,75.76
9.6-9.7 kHz,9650,37777433.16,75.77
9.7-9.8 kHz,9750,37921135.27,75.79
9.8-9.9 kHz,9850,38064101.57,75.81
9.9-10.0 kHz,9950,38206343.24,75.82
10-11 kHz,10500,38976193.85,75.91
11-12 kHz,11500,40325893.72,76.06
12-13 kHz,12500,41618030.46,76.19
13-14 kHz,13500,42859395.46,76.32
14-15 kHz,14500,44055541.25,76.44
15-16 kHz,15500,45211076.52,76.55
16-17 kHz,16500,46329876.55,76.66
17-18 kHz,17500,47415236.87,76.76
18-19 kHz,18500,48469987.91,76.85
19-20 kHz,19500,49496582.00,76.95
20-21 kHz,20500,10193943.94,70.08
21-22 kHz,21500,10207314.26,70.09
22-23 kHz,22500,10221606.32,70.10
23-24 kHz,23500,10236883.66,70.10
24-25 kHz,24500,10253214.21,70.11
25-26 kHz,25500,10270670.57,70.12
26-27 kHz,26500,10289330.35,70.12
27-28 kHz,27500,10309276.53,70.13
28-29 kHz,28500,10330597.78,70.14
29-30 kHz,29500,10353388.89,70.15
30-31 kHz,30500,10377751.21,70.16
31-32 kHz,31500,10403793.04,70.17
32-33 kHz,32500,10431630.17,70.18
33-34 kHz,33500,10461386.36,70.20
34-35 kHz,34500,10493193.93,70.21
35-36 kHz,35500,10527194.28,70.22
36-37 kHz,36500,10563538.58,70.24
37-38 kHz,37500,10602388.42,70.25
38-39 kHz,38500,10643916.54,70.27
39-40 kHz,39500,10688307.57,70.29
40-41 kHz,40500,10735758.88,70.31
41-42 kHz,41500,10786481.44,70.33
42-43 kHz,42500,10840700.77,70.35
43-44 kHz,43500,10898657.93,70.37
44-45 kHz,44500,10960610.60,70.40
45-46 kHz,45500,11026834.24,70.42
46-47 kHz,46500,11097623.27,70.45
47-48 kHz,47500,11173292.44,70.48
48-49 kHz,48500,11254178.17,70.51
49-50 kHz,49500,11340640.09,70.55
50-51 kHz,50500,11433062.62,70.58
51-52 kHz,51500,67361715.40,78.28
52-53 kHz,52500,237478438.90,83.76
53-54 kHz,53500,584102707.15,87.66
54-55 kHz,54500,1002324253.69,90.01
55-56 kHz,55500,1200000000.00,90.79
56-57 kHz,56500,1002324253.69,90.01
57-58 kHz,57500,584102707.15,87.66
58-59 kHz,58500,237478438.90,83.76
59-60 kHz,59500,67361715.40,78.28
60-61 kHz,60500,11433062.62,70.58
61-62 kHz,61500,11340640.09,70.55
62-63 kHz,62500,11254178.17,70.51
63-64 kHz,63500,11173292.44,70.48
64-65 kHz,64500,11097623.27,70.45
65-66 kHz,65500,11026834.24,70.42
66-67 kHz,66500,10960610.60,70.40
67-68 kHz,67500,10898657.93,70.37
68-69 kHz,68500,10840700.77,70.35
69-70 kHz,69500,10786481.44,70.33
70-71 kHz,70500,526745254.55,87.22
71-72 kHz,71500,525946506.04,87.21
72-73 kHz,72500,525148451.24,87.20
73-74 kHz,73500,524351085.64,87.20
74-75 kHz,74500,523554404.76,87.19
75-76 kHz,75500,522758404.17,87.18
76-77 kHz,76500,521963079.48,87.18
77-78 kHz,77500,521168426.38,87.17
78-79 kHz,78500,520374440.57,87.16
79-80 kHz,79500,519581117.82,87.16
80-81 kHz,80500,518788453.93,87.15
81-82 kHz,81500,517996444.76,87.14
82-83 kHz,82500,517205086.21,87.14
83-84 kHz,83500,516414374.23,87.13
84-85 kHz,84500,515624304.81,87.12
85-86 kHz,85500,514834874.00,87.12
86-87 kHz,86500,514046077.87,87.11
87-88 kHz,87500,513257912.56,87.10
88-89 kHz,88500,512470374.25,87.10
89-90 kHz,89500,511683459.16,87.09
90-91 kHz,90500,510897163.56,87.08
91-92 kHz,91500,510111483.75,87.08
92-93 kHz,92500,509326416.10,87.07
93-94 kHz,93500,508541957.00,87.06
94-95 kHz,94500,507758102.91,87.06
95-96 kHz,95500,506974850.32,87.05
96-97 kHz,96500,506192195.75,87.04
97-98 kHz,97500,505410135.79,87.04
98-99 kHz,98500,504628667.05,87.03
99-100 kHz,99500,503847786.22,87.02
100-110 kHz,105000,499563305.35,86.99
110-120 kHz,115000,491816971.38,86.92
120-130 kHz,125000,484124573.13,86.85
130-140 kHz,135000,476483689.39,86.78
140-150 kHz,145000,468892286.46,86.71
150-160 kHz,155000,461348700.02,86.64
160-170 kHz,165000,453851616.86,86.57
170-180 kHz,175000,446400056.54,86.50
180-190 kHz,185000,438993352.85,86.42
190-200 kHz,195000,431631135.47,86.35
200-210 kHz,205000,424313311.46,86.28
210-220 kHz,215000,417040046.99,86.20
220-230 kHz,225000,409811749.14,86.13
230-240 kHz,235000,402629047.90,86.05
240-250 kHz,245000,395492778.34,85.97
250-260 kHz,255000,388403963.13,85.89
260-270 kHz,265000,381363795.28,85.81
270-280 kHz,275000,374373621.20,85.73
280-290 kHz,285000,367434924.23,85.65
290-300 kHz,295000,360549308.41,85.57
300-310 kHz,305000,353718482.80,85.49
310-320 kHz,315000,346944246.16,85.40
320-330 kHz,325000,340228472.17,85.32
330-340 kHz,335000,333573095.07,85.23
340-350 kHz,345000,326980095.84,85.15
350-360 kHz,355000,320451488.96,85.06
360-370 kHz,365000,313989309.60,84.97
370-380 kHz,375000,307595601.47,84.88
380-390 kHz,385000,301272405.15,84.79
390-400 kHz,395000,295021747.07,84.70
400-410 kHz,405000,288845629.03,84.61
410-420 kHz,415000,282746018.29,84.51
420-430 kHz,425000,276724838.26,84.42
430-440 kHz,435000,270783959.84,84.33
440-450 kHz,445000,264925193.24,84.23
450-460 kHz,455000,259150280.45,84.14
460-470 kHz,465000,253460888.34,84.04
470-480 kHz,475000,247858602.21,83.94
480-490 kHz,485000,242344920.04,83.84
490-500 kHz,495000,236921247.25,83.75
500-510 kHz,505000,231588892.01,83.65
510-520 kHz,515000,226349061.08,83.55
520-530 kHz,525000,221202856.26,83.45
530-540 kHz,535000,216151271.27,83.35
540-550 kHz,545000,211195189.19,83.25
550-560 kHz,555000,206335380.37,83.15
560-570 kHz,565000,201572500.89,83.04
570-580 kHz,575000,196907091.33,82.94
580-590 kHz,585000,192339576.16,82.84
590-600 kHz,595000,187870263.46,82.74
600-610 kHz,605000,183499345.04,82.64
610-620 kHz,615000,179226897.06,82.53
620-630 kHz,625000,175052880.88,82.43
630-640 kHz,635000,170977144.38,82.33
640-650 kHz,645000,166999423.58,82.23
650-660 kHz,655000,163119344.59,82.13
660-670 kHz,665000,159336425.79,82.02
670-680 kHz,675000,155650080.43,81.92
680-690 kHz,685000,152059619.36,81.82
690-700 kHz,695000,148564254.04,81.72
700-710 kHz,705000,145163099.84,81.62
710-720 kHz,715000,141855179.42,81.52
720-730 kHz,725000,138639426.43,81.42
730-740 kHz,735000,135514689.25,81.32
740-750 kHz,745000,132479734.95,81.22
750-760 kHz,755000,129533253.40,81.12
760-770 kHz,765000,126673861.39,81.03
770-780 kHz,775000,123900106.97,80.93
780-790 kHz,785000,121210473.79,80.84
790-800 kHz,795000,118603385.49,80.74
800-810 kHz,805000,116077210.19,80.65
810-820 kHz,815000,113630265.00,80.55
820-830 kHz,825000,111260820.47,80.46
830-840 kHz,835000,108967105.16,80.37
840-850 kHz,845000,106747310.11,80.28
850-860 kHz,855000,104599593.30,80.20
860-870 kHz,865000,102522084.10,80.11
870-880 kHz,875000,100512887.61,80.02
880-890 kHz,885000,98570089.03,79.94
890-900 kHz,895000,96691757.89,79.85
900-910 kHz,905000,10000000.00,70.00
910-920 kHz,915000,10000000.00,70.00
920-930 kHz,925000,10000000.00,70.00
930-940 kHz,935000,10000000.00,70.00
940-950 kHz,945000,10000000.00,70.00
950-960 kHz,955000,10000000.00,70.00
960-970 kHz,965000,10000000.00,70.00
970-980 kHz,975000,10000000.00,70.00
980-990 kHz,985000,11950542.02,70.77
990-1000 kHz,995000,20507212.11,73.12
1.0-1.1 MHz,1050000,80000000.00,79.03
1.1-1.2 MHz,1150000,10000000.00,70.00
1.2-1.3 MHz,1250000,57053472.15,77.56
1.3-1.4 MHz,1350000,50391897.24,77.02
1.4-1.5 MHz,1450000,44250596.40,76.46
1.5-1.6 MHz,1550000,38486410.17,75.85
1.6-1.7 MHz,1650000,33169978.91,75.21
1.7-1.8 MHz,1750000,28452626.89,74.54
1.8-1.9 MHz,1850000,24466672.99,73.89
1.9-2.0 MHz,1950000,21269890.09,73.28
2.0-2.1 MHz,2050000,18831275.14,72.75
2.1-2.2 MHz,2150000,17046814.06,72.32
2.2-2.3 MHz,2250000,15770842.54,71.98
2.3-2.4 MHz,2350000,14849862.68,71.72
2.4-2.5 MHz,2450000,14149558.36,71.51
2.5-2.6 MHz,2550000,13570491.64,71.33
2.6-2.7 MHz,2650000,13052175.87,71.16
2.7-2.8 MHz,2750000,12568100.88,70.99
2.8-2.9 MHz,2850000,12115603.32,70.83
2.9-3.0 MHz,2950000,11704439.69,70.68
3.0-3.1 MHz,3050000,11346987.80,70.55
3.1-3.2 MHz,3150000,11051688.33,70.43
3.2-3.3 MHz,3250000,10820075.91,70.34
3.3-3.4 MHz,3350000,10646816.70,70.27
3.4-3.5 MHz,3450000,10521677.10,70.22
3.5-3.6 MHz,3550000,10432265.76,70.18
3.6-3.7 MHz,3650000,10366603.62,70.16
3.7-3.8 MHz,3750000,10314937.59,70.13
3.8-3.9 MHz,3850000,10270590.19,70.12
3.9-4.0 MHz,3950000,10229936.92,70.10
4.0-4.1 MHz,4050000,10191781.52,70.08
4.1-4.2 MHz,4150000,10156454.72,70.07
4.2-4.3 MHz,4250000,10124922.75,70.05
4.3-4.4 MHz,4350000,10098097.75,70.04
4.4-4.5 MHz,4450000,10076434.41,70.03
4.5-4.6 MHz,4550000,10059804.01,70.03
4.6-4.7 MHz,4650000,10047577.07,70.02
4.7-4.8 MHz,4750000,10038820.94,70.02
4.8-4.9 MHz,4850000,10032523.68,70.01
4.9-5.0 MHz,4950000,10027779.59,70.01
