Frequency_Band,Center_Frequency_Hz,Power_Watts,Power_dBW
242-243 Hz,242.5,1500046494.71,91.76
243-244 Hz,243.5,1500046694.66,91.76
244-245 Hz,244.5,1500046894.62,91.76
245-246 Hz,245.5,1500047094.57,91.76
246-247 Hz,246.5,1500047294.52,91.76
247-248 Hz,247.5,1500047494.48,91.76
248-249 Hz,248.5,1500047694.43,91.76
249-250 Hz,249.5,1500047894.38,91.76
250-251 Hz,250.5,1500048094.34,91.76
251-252 Hz,251.5,1500048294.29,91.76
252-253 Hz,252.5,1500048494.24,91.76
253-254 Hz,253.5,1500048694.19,91.76
254-255 Hz,254.5,1500048894.14,91.76
255-256 Hz,255.5,1500049094.10,91.76
256-257 Hz,256.5,1500049294.05,91.76
257-258 Hz,257.5,1500049494.00,91.76
258-259 Hz,258.5,1500049693.95,91.76
259-260 Hz,259.5,1500049893.90,91.76
260-261 Hz,260.5,1500050093.85,91.76
261-262 Hz,261.5,1500050293.80,91.76
262-263 Hz,262.5,1500050493.75,91.76
263-264 Hz,263.5,1500050693.70,91.76
264-265 Hz,264.5,1500050893.65,91.76
265-266 Hz,265.5,1500051093.60,91.76
266-267 Hz,266.5,1500051293.55,91.76
267-268 Hz,267.5,1500051493.50,91.76
268-269 Hz,268.5,1500051693.45,91.76
269-270 Hz,269.5,1500051893.40,91.76
270-271 Hz,270.5,1500052093.35,91.76
271-272 Hz,271.5,1500052293.29,91.76
272-273 Hz,272.5,1500052493.24,91.76
273-274 Hz,273.5,1500052693.19,91.76
274-275 Hz,274.5,1500052893.14,91.76
275-276 Hz,275.5,1500053093.09,91.76
276-277 Hz,276.5,1500053293.03,91.76
277-278 Hz,277.5,1500053492.98,91.76
278-279 Hz,278.5,1500053692.93,91.76
279-280 Hz,279.5,1500053892.87,91.76
280-281 Hz,280.5,1500054092.82,91.76
281-282 Hz,281.5,1500054292.77,91.76
282-283 Hz,282.5,1500054492.71,91.76
283-284 Hz,283.5,1500054692.66,91.76
284-285 Hz,284.5,1500054892.60,91.76
285-286 Hz,285.5,1500055092.55,91.76
286-287 Hz,286.5,1500055292.50,91.76
287-288 Hz,287.5,1500055492.44,91.76
288-289 Hz,288.5,1500055692.39,91.76
289-290 Hz,289.5,1500055892.33,91.76
290-291 Hz,290.5,1500056092.28,91.76
291-292 Hz,291.5,1500056292.22,91.76
292-293 Hz,292.5,1500056492.16,91.76
293-294 Hz,293.5,1500056692.11,91.76
294-295 Hz,294.5,1500056892.05,91.76
295-296 Hz,295.5,1500057092.00,91.76
296-297 Hz,296.5,1500057291.94,91.76
297-298 Hz,297.5,1500057491.88,91.76
298-299 Hz,298.5,1500057691.83,91.76
299-300 Hz,299.5,1500057891.77,91.76
300-301 Hz,300.5,1500058091.71,91.76
301-302 Hz,301.5,1500058291.65,91.76
302-303 Hz,302.5,1500058491.60,91.76
303-304 Hz,303.5,1500058691.54,91.76
304-305 Hz,304.5,1500058891.48,91.76
305-306 Hz,305.5,1500059091.42,91.76
306-307 Hz,306.5,1500059291.36,91.76
307-308 Hz,307.5,1500059491.30,91.76
308-309 Hz,308.5,1500059691.24,91.76
309-310 Hz,309.5,1500059891.19,91.76
310-311 Hz,310.5,1500060091.13,91.76
311-312 Hz,311.5,1500060291.07,91.76
312-313 Hz,312.5,1500060491.01,91.76
313-314 Hz,313.5,1500060690.95,91.76
314-315 Hz,314.5,1500060890.89,91.76
315-316 Hz,315.5,1500061090.83,91.76
316-317 Hz,316.5,1500061290.77,91.76
317-318 Hz,317.5,1500061490.71,91.76
318-319 Hz,318.5,1500061690.64,91.76
319-320 Hz,319.5,1500061890.58,91.76
320-321 Hz,320.5,1500062090.52,91.76
321-322 Hz,321.5,1500062290.46,91.76
322-323 Hz,322.5,1500062490.40,91.76
323-324 Hz,323.5,1500062690.34,91.76
324-325 Hz,324.5,1500062890.27,91.76
325-326 Hz,325.5,1500063090.21,91.76
326-327 Hz,326.5,1500063290.15,91.76
327-328 Hz,327.5,1500063490.09,91.76
328-329 Hz,328.5,1500063690.02,91.76
329-330 Hz,329.5,1500063889.96,91.76
330-331 Hz,330.5,1500064089.90,91.76
331-332 Hz,331.5,1500064289.83,91.76
332-333 Hz,332.5,1500064489.77,91.76
333-334 Hz,333.5,1500064689.71,91.76
334-335 Hz,334.5,1500064889.64,91.76
335-336 Hz,335.5,1500065089.58,91.76
336-337 Hz,336.5,1500065289.51,91.76
337-338 Hz,337.5,1500065489.45,91.76
338-339 Hz,338.5,1500065689.38,91.76
339-340 Hz,339.5,1500065889.32,91.76
340-341 Hz,340.5,1500066089.25,91.76
341-342 Hz,341.5,1500066289.19,91.76
342-343 Hz,342.5,1500066489.12,91.76
343-344 Hz,343.5,1500066689.06,91.76
344-345 Hz,344.5,1500066888.99,91.76
345-346 Hz,345.5,1500067088.92,91.76
346-347 Hz,346.5,1500067288.86,91.76
347-348 Hz,347.5,1500067488.79,91.76
348-349 Hz,348.5,1500067688.72,91.76
349-350 Hz,349.5,1500067888.66,91.76
350-351 Hz,350.5,1500068088.59,91.76
351-352 Hz,351.5,1500068288.52,91.76
352-353 Hz,352.5,1500068488.45,91.76
353-354 Hz,353.5,1500068688.39,91.76
354-355 Hz,354.5,1500068888.32,91.76
355-356 Hz,355.5,1500069088.25,91.76
356-357 Hz,356.5,1500069288.18,91.76
357-358 Hz,357.5,1500069488.11,91.76
358-359 Hz,358.5,1500069688.04,91.76
359-360 Hz,359.5,1500069887.97,91.76
360-361 Hz,360.5,1500070087.90,91.76
361-362 Hz,361.5,1500070287.83,91.76
362-363 Hz,362.5,1500070487.77,91.76
363-364 Hz,363.5,1500070687.70,91.76
364-365 Hz,364.5,1500070887.62,91.76
365-366 Hz,365.5,1500071087.55,91.76
366-367 Hz,366.5,1500071287.48,91.76
367-368 Hz,367.5,1500071487.41,91.76
368-369 Hz,368.5,1500071687.34,91.76
369-370 Hz,369.5,1500071887.27,91.76
370-371 Hz,370.5,1500072087.20,91.76
371-372 Hz,371.5,1500072287.13,91.76
372-373 Hz,372.5,1500072487.06,91.76
373-374 Hz,373.5,1500072686.98,91.76
374-375 Hz,374.5,1500072886.91,91.76
375-376 Hz,375.5,1500073086.84,91.76
376-377 Hz,376.5,1500073286.77,91.76
377-378 Hz,377.5,1500073486.70,91.76
378-379 Hz,378.5,1500073686.62,91.76
379-380 Hz,379.5,1500073886.55,91.76
380-381 Hz,380.5,1500074086.48,91.76
381-382 Hz,381.5,1500074286.40,91.76
382-383 Hz,382.5,1500074486.33,91.76
383-384 Hz,383.5,1500074686.25,91.76
384-385 Hz,384.5,1500074886.18,91.76
385-386 Hz,385.5,1500075086.11,91.76
386-387 Hz,386.5,1500075286.03,91.76
387-388 Hz,387.5,1500075485.96,91.76
388-389 Hz,388.5,1500075685.88,91.76
389-390 Hz,389.5,1500075885.81,91.76
390-391 Hz,390.5,1500076085.73,91.76
391-392 Hz,391.5,1500076285.66,91.76
392-393 Hz,392.5,1500076485.58,91.76
393-394 Hz,393.5,1500076685.50,91.76
394-395 Hz,394.5,1500076885.43,91.76
395-396 Hz,395.5,1500077085.35,91.76
396-397 Hz,396.5,1500077285.28,91.76
397-398 Hz,397.5,1500077485.20,91.76
398-399 Hz,398.5,1500077685.12,91.76
399-400 Hz,399.5,1500077885.05,91.76
400-401 Hz,400.5,1500078084.97,91.76
401-402 Hz,401.5,1500078284.89,91.76
402-403 Hz,402.5,1500078484.81,91.76
403-404 Hz,403.5,1500078684.74,91.76
404-405 Hz,404.5,1500078884.66,91.76
405-406 Hz,405.5,1500079084.58,91.76
406-407 Hz,406.5,1500079284.50,91.76
407-408 Hz,407.5,1500079484.42,91.76
408-409 Hz,408.5,1500079684.34,91.76
409-410 Hz,409.5,1500079884.26,91.76
410-411 Hz,410.5,1500080084.18,91.76
411-412 Hz,411.5,1500080284.10,91.76
412-413 Hz,412.5,1500080484.03,91.76
413-414 Hz,413.5,1500080683.95,91.76
414-415 Hz,414.5,1500080883.87,91.76
415-416 Hz,415.5,1500081083.78,91.76
416-417 Hz,416.5,1500081283.70,91.76
417-418 Hz,417.5,1500081483.62,91.76
418-419 Hz,418.5,1500081683.54,91.76
419-420 Hz,419.5,1500081883.46,91.76
420-421 Hz,420.5,1500082083.38,91.76
421-422 Hz,421.5,1500082283.30,91.76
422-423 Hz,422.5,1500082483.22,91.76
423-424 Hz,423.5,1500082683.14,91.76
424-425 Hz,424.5,1500082883.05,91.76
425-426 Hz,425.5,1500083082.97,91.76
426-427 Hz,426.5,1500083282.89,91.76
427-428 Hz,427.5,1500083482.81,91.76
428-429 Hz,428.5,1500083682.72,91.76
429-430 Hz,429.5,1500083882.64,91.76
430-431 Hz,430.5,1500084082.56,91.76
431-432 Hz,431.5,1500084282.47,91.76
432-433 Hz,432.5,1500084482.39,91.76
433-434 Hz,433.5,1500084682.31,91.76
434-435 Hz,434.5,1500084882.22,91.76
435-436 Hz,435.5,1500085082.14,91.76
436-437 Hz,436.5,1500085282.05,91.76
437-438 Hz,437.5,1500085481.97,91.76
438-439 Hz,438.5,1500085681.88,91.76
439-440 Hz,439.5,1500085881.80,91.76
440-441 Hz,440.5,1500086081.71,91.76
441-442 Hz,441.5,1500086281.63,91.76
442-443 Hz,442.5,1500086481.54,91.76
443-444 Hz,443.5,1500086681.46,91.76
444-445 Hz,444.5,1500086881.37,91.76
445-446 Hz,445.5,1500087081.28,91.76
446-447 Hz,446.5,1500087281.20,91.76
447-448 Hz,447.5,1500087481.11,91.76
448-449 Hz,448.5,1500087681.02,91.76
449-450 Hz,449.5,1500087880.94,91.76
450-451 Hz,450.5,1500088080.85,91.76
451-452 Hz,451.5,1500088280.76,91.76
452-453 Hz,452.5,1500088480.67,91.76
453-454 Hz,453.5,1500088680.59,91.76
454-455 Hz,454.5,1500088880.50,91.76
455-456 Hz,455.5,1500089080.41,91.76
456-457 Hz,456.5,1500089280.32,91.76
457-458 Hz,457.5,1500089480.23,91.76
458-459 Hz,458.5,1500089680.14,91.76
459-460 Hz,459.5,1500089880.06,91.76
460-461 Hz,460.5,1500090079.97,91.76
461-462 Hz,461.5,1500090279.88,91.76
462-463 Hz,462.5,1500090479.79,91.76
463-464 Hz,463.5,1500090679.70,91.76
464-465 Hz,464.5,1500090879.61,91.76
465-466 Hz,465.5,1500091079.52,91.76
466-467 Hz,466.5,1500091279.43,91.76
467-468 Hz,467.5,1500091479.34,91.76
468-469 Hz,468.5,1500091679.25,91.76
469-470 Hz,469.5,1500091879.15,91.76
470-471 Hz,470.5,1500092079.06,91.76
471-472 Hz,471.5,1500092278.97,91.76
472-473 Hz,472.5,1500092478.88,91.76
473-474 Hz,473.5,1500092678.79,91.76
474-475 Hz,474.5,1500092878.70,91.76
475-476 Hz,475.5,1500093078.60,91.76
476-477 Hz,476.5,1500093278.51,91.76
477-478 Hz,477.5,1500093478.42,91.76
478-479 Hz,478.5,1500093678.33,91.76
479-480 Hz,479.5,1500093878.23,91.76
480-481 Hz,480.5,1500094078.14,91.76
481-482 Hz,481.5,1500094278.05,91.76
482-483 Hz,482.5,1500094477.95,91.76
483-484 Hz,483.5,1500094677.86,91.76
484-485 Hz,484.5,1500094877.76,91.76
485-486 Hz,485.5,1500095077.67,91.76
486-487 Hz,486.5,1500095277.58,91.76
487-488 Hz,487.5,1500095477.48,91.76
488-489 Hz,488.5,1500095677.39,91.76
489-490 Hz,489.5,1500095877.29,91.76
490-491 Hz,490.5,1500096077.20,91.76
491-492 Hz,491.5,1500096277.10,91.76
492-493 Hz,492.5,1500096477.01,91.76
493-494 Hz,493.5,1500096676.91,91.76
494-495 Hz,494.5,1500096876.81,91.76
495-496 Hz,495.5,1500097076.72,91.76
496-497 Hz,496.5,1500097276.62,91.76
497-498 Hz,497.5,1500097476.52,91.76
498-499 Hz,498.5,1500097676.43,91.76
499-500 Hz,499.5,1500097876.33,91.76
500-501 Hz,500.5,1500098076.23,91.76
501-502 Hz,501.5,1500098276.14,91.76
502-503 Hz,502.5,1500098476.04,91.76
503-504 Hz,503.5,1500098675.94,91.76
504-505 Hz,504.5,1500098875.84,91.76
505-506 Hz,505.5,1500099075.74,91.76
506-507 Hz,506.5,1500099275.65,91.76
507-508 Hz,507.5,1500099475.55,91.76
508-509 Hz,508.5,1500099675.45,91.76
509-510 Hz,509.5,1500099875.35,91.76
510-511 Hz,510.5,1500100075.25,91.76
511-512 Hz,511.5,1500100275.15,91.76
512-513 Hz,512.5,1500100475.05,91.76
513-514 Hz,513.5,1500100674.95,91.76
514-515 Hz,514.5,1500100874.85,91.76
515-516 Hz,515.5,1500101074.75,91.76
516-517 Hz,516.5,1500101274.65,91.76
517-518 Hz,517.5,1500101474.55,91.76
518-519 Hz,518.5,1500101674.45,91.76
519-520 Hz,519.5,1500101874.35,91.76
520-521 Hz,520.5,1500102074.25,91.76
521-522 Hz,521.5,1500102274.15,91.76
522-523 Hz,522.5,1500102474.04,91.76
523-524 Hz,523.5,1500102673.94,91.76
524-525 Hz,524.5,1500102873.84,91.76
525-526 Hz,525.5,1500103073.74,91.76
526-527 Hz,526.5,1500103273.64,91.76
527-528 Hz,527.5,1500103473.53,91.76
528-529 Hz,528.5,1500103673.43,91.76
529-530 Hz,529.5,1500103873.33,91.76
530-531 Hz,530.5,1500104073.22,91.76
531-532 Hz,531.5,1500104273.12,91.76
532-533 Hz,532.5,1500104473.02,91.76
533-534 Hz,533.5,1500104672.91,91.76
534-535 Hz,534.5,1500104872.81,91.76
535-536 Hz,535.5,1500105072.71,91.76
536-537 Hz,536.5,1500105272.60,91.76
537-538 Hz,537.5,1500105472.50,91.76
538-539 Hz,538.5,1500105672.39,91.76
539-540 Hz,539.5,1500105872.29,91.76
540-541 Hz,540.5,1500106072.18,91.76
541-542 Hz,541.5,1500106272.08,91.76
542-543 Hz,542.5,1500106471.97,91.76
543-544 Hz,543.5,1500106671.86,91.76
544-545 Hz,544.5,1500106871.76,91.76
545-546 Hz,545.5,1500107071.65,91.76
546-547 Hz,546.5,1500107271.55,91.76
547-548 Hz,547.5,1500107471.44,91.76
548-549 Hz,548.5,1500107671.33,91.76
549-550 Hz,549.5,1500107871.23,91.76
550-551 Hz,550.5,1500108071.12,91.76
551-552 Hz,551.5,1500108271.01,91.76
552-553 Hz,552.5,1500108470.90,91.76
553-554 Hz,553.5,1500108670.80,91.76
554-555 Hz,554.5,1500108870.69,91.76
555-556 Hz,555.5,1500109070.58,91.76
556-557 Hz,556.5,1500109270.47,91.76
557-558 Hz,557.5,1500109470.36,91.76
558-559 Hz,558.5,1500109670.25,91.76
559-560 Hz,559.5,1500109870.15,91.76
560-561 Hz,560.5,1500110070.04,91.76
561-562 Hz,561.5,1500110269.93,91.76
562-563 Hz,562.5,1500110469.82,91.76
563-564 Hz,563.5,1500110669.71,91.76
564-565 Hz,564.5,1500110869.60,91.76
565-566 Hz,565.5,1500111069.49,91.76
566-567 Hz,566.5,1500111269.38,91.76
567-568 Hz,567.5,1500111469.27,91.76
568-569 Hz,568.5,1500111669.16,91.76
569-570 Hz,569.5,1500111869.04,91.76
570-571 Hz,570.5,1500112068.93,91.76
571-572 Hz,571.5,1500112268.82,91.76
572-573 Hz,572.5,1500112468.71,91.76
573-574 Hz,573.5,1500112668.60,91.76
574-575 Hz,574.5,1500112868.49,91.76
575-576 Hz,575.5,1500113068.37,91.76
576-577 Hz,576.5,1500113268.26,91.76
577-578 Hz,577.5,1500113468.15,91.76
578-579 Hz,578.5,1500113668.04,91.76
579-580 Hz,579.5,1500113867.92,91.76
580-581 Hz,580.5,1500114067.81,91.76
581-582 Hz,581.5,1500114267.70,91.76
582-583 Hz,582.5,1500114467.58,91.76
583-584 Hz,583.5,1500114667.47,91.76
584-585 Hz,584.5,1500114867.36,91.76
585-586 Hz,585.5,1500115067.24,91.76
586-587 Hz,586.5,1500115267.13,91.76
587-588 Hz,587.5,1500115467.01,91.76
588-589 Hz,588.5,1500115666.90,91.76
589-590 Hz,589.5,1500115866.78,91.76
590-591 Hz,590.5,1500116066.67,91.76
591-592 Hz,591.5,1500116266.55,91.76
592-593 Hz,592.5,1500116466.44,91.76
593-594 Hz,593.5,1500116666.32,91.76
594-595 Hz,594.5,1500116866.21,91.76
595-596 Hz,595.5,1500117066.09,91.76
596-597 Hz,596.5,1500117265.97,91.76
597-598 Hz,597.5,1500117465.86,91.76
598-599 Hz,598.5,1500117665.74,91.76
599-600 Hz,599.5,1500117865.62,91.76
600-601 Hz,600.5,1500118065.51,91.76
601-602 Hz,601.5,1500118265.39,91.76
602-603 Hz,602.5,1500118465.27,91.76
603-604 Hz,603.5,1500118665.15,91.76
604-605 Hz,604.5,1500118865.04,91.76
605-606 Hz,605.5,1500119064.92,91.76
606-607 Hz,606.5,1500119264.80,91.76
607-608 Hz,607.5,1500119464.68,91.76
608-609 Hz,608.5,1500119664.56,91.76
609-610 Hz,609.5,1500119864.44,91.76
610-611 Hz,610.5,1500120064.32,91.76
611-612 Hz,611.5,1500120264.20,91.76
612-613 Hz,612.5,1500120464.09,91.76
613-614 Hz,613.5,1500120663.97,91.76
614-615 Hz,614.5,1500120863.85,91.76
